"process","resource","type","trl","trl.reference","trl.notes","scale","scale.ref","scale.notes","capacity.max","capacity.min","capacity.other.i","capacity.other.ii","capacity.other.iii","capacity.other.iv","capacity.other.v"
"gasification-biomass-methane.yaml","methane","prod","m","http://ac.els-cdn.com/S136403211300614X/1-s2.0-S136403211300614X-main.pdf?_tid=a7b4bb14-3512-11e5-90f6-00000aab0f26&acdnat=1438079174_957ae7400820bbc7accfea07bccbbd81, https://www.ashden.org/biomass-gasification","Barriers to gasification, but small-scale systems in India and China","TODO","http://www.sciencedirect.com/science/article/pii/S036031990901355X","0.475 kg/h",0.0001319,"NA","Already defines small-scale systems",,,,
"gasification-biomass-methanol-backPressure.yaml","methanol","prod","m","http://ac.els-cdn.com/S136403211300614X/1-s2.0-S136403211300614X-main.pdf?_tid=a7b4bb14-3512-11e5-90f6-00000aab0f26&acdnat=1438079174_957ae7400820bbc7accfea07bccbbd81, https://www.ashden.org/biomass-gasification","Barriers to gasification, but small-scale systems in India and China","TODO","http://www.sciencedirect.com/science/article/pii/S0360544212005397","Biomass inputs between 20-1350 MW",34.95,0.52,,,,,
"gasification-biomass-methanol-condensingTurbine-heatPump-twoSteamLevels.yaml","methanol","prod","m","http://ac.els-cdn.com/S136403211300614X/1-s2.0-S136403211300614X-main.pdf?_tid=a7b4bb14-3512-11e5-90f6-00000aab0f26&acdnat=1438079174_957ae7400820bbc7accfea07bccbbd81, https://www.ashden.org/biomass-gasification","Barriers to gasification, but small-scale systems in India and China","TODO","http://www.sciencedirect.com/science/article/pii/S0360544212005397","Biomass inputs between 20-1350 MW",34.95,0.52,,,,,
"gasification-biomass-methanol-condensingTurbine-noDrying-adjusted.yaml","methanol","prod","m","http://ac.els-cdn.com/S136403211300614X/1-s2.0-S136403211300614X-main.pdf?_tid=a7b4bb14-3512-11e5-90f6-00000aab0f26&acdnat=1438079174_957ae7400820bbc7accfea07bccbbd81, https://www.ashden.org/biomass-gasification","Barriers to gasification, but small-scale systems in India and China","TODO","http://www.sciencedirect.com/science/article/pii/S0360544212005397","Biomass inputs between 20-1350 MW",30.17,0.447,,,,,
"gasification-biomass-methanol-condensingTurbine-noDrying.yaml","methanol","prod","m","http://ac.els-cdn.com/S136403211300614X/1-s2.0-S136403211300614X-main.pdf?_tid=a7b4bb14-3512-11e5-90f6-00000aab0f26&acdnat=1438079174_957ae7400820bbc7accfea07bccbbd81, https://www.ashden.org/biomass-gasification","Barriers to gasification, but small-scale systems in India and China","TODO","http://www.sciencedirect.com/science/article/pii/S0360544212005397","Biomass inputs between 20-1350 MW",30.17,0.447,,,,,
"gasification-coal-biomass_elec-hydrogen.yaml","elec","prod","m","http://dc.engconfintl.org/cgi/viewcontent.cgi?article=1071&context=cfb10, http://www.hindawi.com/journals/ijfr/2012/363058/, http://eccc.uno.edu/pdf/Long-Wang-GT2011-45512.pdf","Testing in 8 MW system in Austria, otherwise only lab and small-scale testing or simulations.","TODO",,"304.87 MW",304.87,"NA","***",,,,
"gasification-coal-biomass_elec.yaml","elec","prod","m","http://dc.engconfintl.org/cgi/viewcontent.cgi?article=1071&context=cfb10, http://www.hindawi.com/journals/ijfr/2012/363058/, http://eccc.uno.edu/pdf/Long-Wang-GT2011-45512.pdf","Testing in 8 MW system in Austria, otherwise only lab and small-scale testing or simulations.","TODO",,"422.59 MW",422.59,"NA","***",,,,
"gasification_coal_elec-hydrogen-noSupplementaryFiring.yaml","elec","prod","m","http://www.sciencedirect.com/science/article/pii/S0360319910009183","Novel methodology","TODO","http://www.sciencedirect.com/science/article/pii/S0360319910009183","Net power: 2.7 MW",2.7,"NA","***",,,,
"gasification_coal_elec-hydrogen-supplementaryFiring.yaml","elec","prod","m","http://www.sciencedirect.com/science/article/pii/S0360319910009183","Novel methodology","TODO","http://www.sciencedirect.com/science/article/pii/S0360319910009183","Net power: 3.8 MW",3.8,"NA","***",,,,
"gasification-coal_elec.yaml","elec","prod","m","http://www.sciencedirect.com/science/article/pii/S0360319911028667","Simulated investigation","TODO","http://www.sciencedirect.com/science/article/pii/S0360319911028667","400-500 MW",500,400,,,,,
"gasification-coal-MSW_elec.yaml","elec","prod","m","http://www.sciencedirect.com/science/article/pii/S0000000000000001","Simulated investigation","TODO","http://www.sciencedirect.com/science/article/pii/S0000000000000001","400-500 MW",500,400,,,,,
"gasification-coal-sewageSludge_elec.yaml","elec","prod","m","http://www.sciencedirect.com/science/article/pii/S0000000000000002","Simulated investigation","TODO","http://www.sciencedirect.com/science/article/pii/S0000000000000002","400-500 MW",500,400,,,,,
"gasification-coal-syngas.yaml","elec","prod","m","http://www.sciencedirect.com/science/article/pii/S0360544212002162","Investigating the gasifiers not yet commercially available, which can be used in conjunction with CCS","TODO","http://www.sciencedirect.com/science/article/pii/S0360544212002162","400-450 MW of net electricity",500,400,,,,,
"gasification-MSW-power.yaml","elec","prod","c","http://www.sciencedirect.com/science/article/pii/S0956053X11004788","Investigating commercial plants (lots in Japan)","TODO","http://www.sciencedirect.com/science/article/pii/S0956053X11004788","50 MW, 80 MW (Plant A and Plant B)",80,50,,,,,
"gasification-sewageSludge_hyrdogen.yaml","elec","prod","c","http://www.netl.doe.gov/research/coal/energy-systems/gasification/gasifipedia/westinghouse","Some existing plants (i.e. Japan)","TODO","http://www.netl.doe.gov/research/coal/energy-systems/gasification/gasifipedia/westinghouse","Tons per day of MSW in existing plants: 24, 170, 300",7.7,0.62,,,,,
"gasification-sewageSludge.yaml","elec","prod","c","http://ac.els-cdn.com/S0196890408000502/1-s2.0-S0196890408000502-main.pdf?_tid=9d99a024-e745-11e4-b8a4-00000aacb35d&acdnat=1429524871_4bf9a9d88fede665c8aa127a7c1245da","Case study on Athens WWTP","TODO","http://ac.els-cdn.com/S0196890408000502/1-s2.0-S0196890408000502-main.pdf?_tid=9d99a024-e745-11e4-b8a4-00000aacb35d&acdnat=1429524871_4bf9a9d88fede665c8aa127a7c1245da","2.85 MW power production (250 ton/day of sewage), assume minimum value is that for gasification-sewateSludge_hydrogen.yaml",2.85,0.62,,,,,
"gasification-syngas-elec.yaml","elec","prod","m","http://ac.els-cdn.com/S0360544212002162/1-s2.0-S0360544212002162-main.pdf?_tid=463512d4-d181-11e4-8621-00000aacb362&acdnat=1427131568_5073a443c24f9418e62c68dc26901d99",,"TODO","http://ac.els-cdn.com/S0360544212002162/1-s2.0-S0360544212002162-main.pdf?_tid=463512d4-d181-11e4-8621-00000aacb362&acdnat=1427131568_5073a443c24f9418e62c68dc26901d99","400-450 MW of net electricity",450,400,,,,,
"gasification-waste-high-temp_steam.yaml","elec","prod","c","https://www.netl.doe.gov/File%20Library/Research/Coal/energy%20systems/gasification/gasifipedia/5-ASADAL_BOARD_bbs02.pdf","List of commercial plants","TODO",,"12.02 MW, small-scale 40 kW (file:///home/tr608/Downloads/JDW2E_NSRDEC_Backup-StateOfTheArt_v20130909.pdf)",12.02,0.04,,,,,
"gasification-waste-high-temp.yaml","elec","prod","c","https://www.netl.doe.gov/File%20Library/Research/Coal/energy%20systems/gasification/gasifipedia/5-ASADAL_BOARD_bbs02.pdf","List of commercial plants","TODO",,"8.62 MW",8.62,0.04,,,,,
"gasification-waste-plasma.yaml","elec","prod","c","https://www.netl.doe.gov/File%20Library/Research/Coal/energy%20systems/gasification/gasifipedia/5-ASADAL_BOARD_bbs02.pdf","List of commercial plants","TODO",,"10.13 MW, smaller-scale calculated from 150 tpd (http://www.nytimes.com/2012/09/11/science/plasma-gasification-raises-hopes-of-clean-energy-from-garbage.html)",10.13,7.92,,,,,
"groundwater-pumping.yaml","groundWaterPumped","prod","c",,,"TODO","DEFINE ACCORDING TO LOCAL CONSTRAINTS?","DEFINE ACCORDING TO LOCAL CONSTRAINTS?","DEFINE-ACCORDING-TO-LOCAL-CONSTRAINTS","NA",,,,,
"heatingPlant-pyrolysis_biomass-oil.yaml","heat","prod","c","http://www.pyne.co.uk/Resources/user/Biomass%20pyrolysis%20-%20a%20guide%20to%20UK%20capabilities%20May%202011v2.pdf","List of existing commercial (and test) plants","TODO",,"62 MW, small-scale calculated from 200 kg/hour (http://www.trmiles.com/Presentations/Gasification%20Pyrolysis/Miles_Gas_Pyro_02_09_10.pdf)",62,"NA",0.22,,,,
"heatPump-ASHP-highEff-radOrDWH.yaml","heat","prod","c",,,"TODO","http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",13,0.005,0.02,,,,
"heatPump-ASHP-highEff-screedFloor.yaml","heat","prod","c",,,"TODO","http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",13,0.005,0.02,,,,
"heatPump-ASHP-highEff-timberFloor.yaml","heat","prod","c",,,"TODO","http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",13,0.005,0.02,,,,
"heatPump-ASHP-screedFloor.yaml","heat","prod","c",,,"TODO","http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",13,0.005,0.02,,,,
"heatPump-ASHP-twoStage-screedFloor.yaml","heat","prod","c",,,"TODO","http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",13,0.005,0.02,,,,
"heatPump-ASHP-twoStage-timberFloor.yaml","heat","prod","c",,,"TODO","http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",13,0.005,0.02,,,,
"heatPump-groundCoupled-heating.yaml","heat","prod","c",,,"TODO","http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",13,0.005,0.02,,,,
"heatPump-GSHP-floorScreed.yaml","heat","prod","c",,,"TODO","http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",13,0.005,0.02,,,,
"heatPump-GSHP-ground-radAndDHW.yaml","heat","prod","c",,,"TODO","http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",13,0.005,0.02,,,,
"heatPump-GSHP-ground-radOrDHW.yaml","heat","prod","c",,,"TODO","http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",13,0.005,0.02,,,,
"heatPump-GSHP-ground-screedFloor.yaml","heat","prod","c",,,"TODO","http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",13,0.005,0.02,,,,
"heatPump-GSHP-ground-timberFloor.yaml","heat","prod","c",,,"TODO","http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",13,0.005,0.02,,,,
"heatPump-GSHP-radOrDHW.yaml","heat","prod","c",,,"TODO","http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",13,0.005,0.02,,,,
"heatPump-GSHP-timberFloor.yaml","heat","prod","c",,,"TODO","http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",13,0.005,0.02,,,,
"heatPump-sewage-cooling.yaml","heat","prod","c","http://www.treehugger.com/clean-technology/geothermal-system-taps-sewage-instead-bedrock.html","Systems in China","TODO","http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",13,0.005,0.02,,,,
"heatPump-sewage-heating.yaml","heat","prod","c","http://www.treehugger.com/clean-technology/geothermal-system-taps-sewage-instead-bedrock.html","Systems in China","TODO","http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",13,0.005,0.02,,,,
"heatPump-solarAssisted-cooling.yaml","heat","prod","c","http://www.solargeothermalheatpump.com/","Commercial systems for sale","TODO","http://www.sciencedirect.com/science/article/pii/S0378778811001812,","System with for building with 10 kW demand",0.01,"NA","Already defines small-scale systems",,,,
"heatPump-solarAssisted-heating.yaml","heat","prod","c","http://www.solargeothermalheatpump.com/","Commercial systems for sale","TODO","http://www.sciencedirect.com/science/article/pii/S0378778811001812,","System with for building with 10 kW demand",0.01,"NA","Already defines small-scale systems",,,,
"heatPump-transcriticalCO2-radAndDHW.yaml","heat","prod","c",,,"TODO","http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",13,0.005,0.02,,,,
"heatPump-transcriticalCO2-radOrDHW.yaml","heat","prod","c",,,"TODO","http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",13,0.005,0.02,,,,
"heatPump-transcriticalCO2-screedFloor.yaml","heat","prod","c",,,"TODO","http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",13,0.005,0.02,,,,
"landfill-CO2toAtmosphere.yaml","waste","waste","c",,,"TODO",,"DEPENDS ON SIZE OF LANDFILL SITE","DEPENDS-ON-SIZE-OF-LANDFILL-SITE","NA",,,,,
"leachateTreatment_anaerobicMembraneBioreactor.yaml","leachate","waste","r","http://dynatecsystems.com/documents/Landfill%20Leachate%20-%20PA(1).pdf","A few examples of industrial applications","TODO","http://www.scirp.org/journal/PaperInformation.aspx?paperID=42423","Current commercial models of AnMBRs produce 800 m3/day ",9.26,"NA","***",,,,
"leachateTreatment_combinedBiologicalSolarPhotoFenton.yaml","leachate","waste","m","http://www.sciencedirect.com/science/article/pii/S1385894711006796","Examining several options to be Òtheoretically possible to be considered for reaching the two target COD limitsÓ","TODO","Assume the same as commercial models of AnMBRs","Current commercial models of AnMBRs produce 800 m3/day ",9.26,"NA","***",,,,
"leachateTreatment-electrodialysis.yaml","leachate","waste","r","http://www.kakoki.co.jp/english/products/e-007/index.html","Some examples of plants","TODO","http://www.sciencedirect.com/science/article/pii/0011916494851840","Electrodialysis plant for desalination is 1200 m3/day",13.89,"NA","***",,,,
"looping_hydrogen-power_moreCO2removal.yaml","elec","prod","m","http://www.sciencedirect.com/science/article/pii/S0360319912004624","Simulation","TODO","http://www.sciencedirect.com/science/article/pii/S0360319912004624","3.78 MW",3.78,"NA","***",,,,
"looping_hydrogen-power.yaml","elec","prod","m","http://www.sciencedirect.com/science/article/pii/S0360319912004624","Simulation","TODO","http://www.sciencedirect.com/science/article/pii/S0360319912004624","7.36 MW",7.36,"NA","***",,,,
"microalgae-biodiesel.yaml","biodiesel","prod","ml","http://pubs.acs.org/doi/pdf/10.1021/ie403273b","Simulations (showing the economic viability of the process)","TODO","http://www.cmclinnovations.com/wp-content/uploads/2014/01/The-future-viability-of-algae-derived-biodiesel-under-economic-and-technical-uncertainties.pdf","Paper applies sensitivity analysis betwee 1000 to 100000 tonnes/year of biodiesel",3.17,0.00317,,,,,
"microalgae-biofuels_wetExtraction.yaml","biodiesel","prod","r","http://biomassmagazine.com/articles/8307/propel-solazyme-make-algae-biofuel-available-to-the-public","Some commercial examples","TODO","http://www.cmclinnovations.com/wp-content/uploads/2014/01/The-future-viability-of-algae-derived-biodiesel-under-economic-and-technical-uncertainties.pdf","Plants in US range from 0.01 to 180 Mmgy",21,0.0012,,,,,
"microCHP-methane.yaml","elec","prod","c","http://www.sciencedirect.com/science/article/pii/S037877881200196X","Paper analysis a Òtypical caseÓ","TODO","http://www.sciencedirect.com/science/article/pii/S037877881200196X","1 kW",0.001,"NA","Already 'micro'",,,,
"mixedRawSludge_biogas.yaml","biogas","prod","c","http://www.sciencedirect.com/science/article/pii/S1359431108001968","Real data","TODO","http://www.sciencedirect.com/science/article/pii/S1359431108001968","111 t/d",1.284,0.0116,,,,,
"nuclear-directUseSpentFuel.yaml","elec","prod","c",,,"TODO","https://en.wikipedia.org/wiki/List_of_small_nuclear_reactor_designs. https://en.wikipedia.org/wiki/List_of_nuclear_power_stations","Small range from 0.068-350 MW. Large range from 350-7900 MW",7900,0.068,,,,,
"nuclear-fastReactorRecycling-pyroprocess.yaml","elec","prod","c",,,"TODO","https://en.wikipedia.org/wiki/List_of_small_nuclear_reactor_designs. https://en.wikipedia.org/wiki/List_of_nuclear_power_stations","Small range from 0.068-350 MW. Large range from 350-7900 MW",7900,0.068,,,,,
"nuclear-onceThrough.yaml","elec","prod","c",,,"TODO","https://en.wikipedia.org/wiki/List_of_small_nuclear_reactor_designs. https://en.wikipedia.org/wiki/List_of_nuclear_power_stations","Small range from 0.068-350 MW. Large range from 350-7900 MW",7900,0.068,,,,,
"nuclear-thermalReactorRecycling.yaml","elec","prod","c",,,"TODO","https://en.wikipedia.org/wiki/List_of_small_nuclear_reactor_designs. https://en.wikipedia.org/wiki/List_of_nuclear_power_stations","Small range from 0.068-350 MW. Large range from 350-7900 MW",7900,0.068,,,,,
"powerplant-biomass.yaml","elec","prod","c",,,"TODO","http://www.power-technology.com/features/featurepower-from-waste---the-worlds-biggest-biomass-power-plants-4205990/. http://biomassmagazine.com/plants/listplants/biomass/US/","Largest plant is 740 MW. Other big plants are about 125-140 MW. Other plants are 0.04-128.9 MW",740,0.04,,,,,
"powerplant-coal.yaml","elec","prod","c",,,"TODO","https://en.wikipedia.org/wiki/List_of_coal_power_stations. http://www.eia.doe.gov/electricity/","Largest plant is 5400 MW. Other plants in the range 0-10, 10-20, 20-50, 100-250, 250-500 etc.",5400,10,,,,,
"powerplant-cofiring-biomass-coal-fluidisedBed.yaml","elec","prod","c",,,"TODO","https://en.wikipedia.org/wiki/List_of_largest_power_stations_in_the_world#Biomass","Largest cofiring is Drax, 1100 MW (with 80% coal). Assume others in range above.",1100,10,,,,,
"powerplant-cofiring-biomass-coal-pulverisedCoal.yaml","elec","prod","c",,,"TODO",,"https://en.wikipedia.org/wiki/List_of_largest_power_stations_in_the_world#Biomass","CHECK-REFERENCE","NA",,,,,
