"","x"
"235","biochemical_wheatStraw_ethanol-0.009477"
"236","biochemical_woodChips_ethanol-0.00783"
"237","biodiesel_boiler-0.025"
"238","biodiesel-cookingOil-0.0193"
"239","biogas-MSW-agri-0.254"
"240","biogas-CHP-0.5"
"241","biogas-MSW-food-0.254"
"242","biogas-MSW-sewage-combo-0.254"
"243","biogas-MSW-0.254"
"244","biogas-municipalFoodWaste-greenWaste-CNG-heat-elec-0.254"
"245","biogas-municipalFoodWaste-greenWaste-CNG-heat-0.254"
"246","biogas-municipalFoodWaste-greenWaste-CNG-0.254"
"247","biogas-municipalFoodWaste-greenWaste-elec-0.254"
"248","biogas-UPGRADE-methane-AwR-0.254"
"249","biogas-UPGRADE-methane-BABIU-0.254"
"250","biogas-UPGRADE-methane-HPWS-0.254"
"251","biogas-vegWaste-0.254"
"252","biomass_ethanol-0.159"
"253","biomass-gasification-0.14"
"254","biomass-pyrolysis-1"
"255","CHP-biomass-0.005"
"256","CHP-decentralised-fuelCell_biomass-0.005"
"257","CHP-fuelCell_hydrogen-0.005"
"258","CHP-gas_fuelOil-0.5"
"259","wasteGas-0.5"
"260","CHP-gas_gasNatural-0.5"
"261","CHP-microTurbine_liquidFuel-0.03"
"262","CHP-microTurbine_gasNatural-0.03"
"263","CHP-reciprocatingEngine_LPG-0.005"
"264","CHP-reciprocatingEngine_gasNatural-0.005"
"265","CHP-reciprocatingEngine_wasteGas-0.005"
"266","coalLooping_hydrogen-elec-300"
"267","cofiring-biomass-coal-1131"
"268","cofiring-boiler_coal-biomass-10"
"269","combustion-biomass-8.7"
"270","coal-combustion-bituminous-8.7"
"271","combustion-coal-combined-cycle-400"
"272","combustion-coal-400"
"273","combustion-sludgeDigested-0.00935"
"274","combustion-sludgeRaw-0.00935"
"275","constructed-wetland-1.75"
"276","cooling-thermallyActivated_adsorption-silica-0.005"
"277","cooling-thermallyActivated_H2O-NH3_single-small-0.01"
"278","cooling-thermallyActivated_H2O-NH3_single-0.01"
"279","cooling-thermallyActivated_LiBr-H2O_double-0.02"
"280","cooling-thermallyActivated_LiBr-H2O_single-0.005"
"281","cooling-thermallyActivated_liquidDessicant-0.05"
"282","cooling-thermallyActivated_solidDessicant-0.005"
"283","desalination-Cu-Cl-combo-2.3148"
"284","desalination-mechanicalVapourCompression-2.3148"
"285","desalination-multiEffectDistillation-2.3148"
"286","desalination-multiStageFlash-2.3148"
"287","desalination-ReverseOsmosis-PV-0.002583"
"288","desalination-ReverseOsmosis-2.3148"
"289","desalination-solarPond-0.0266"
"290","desalination-wind-0.083"
"291","digestion_biomassAgriWaste_biodiesel-0.317"
"292","distributed-engine-cogen-1"
"293","distributed-engine-1"
"294","distributed-fuelCells-cogen-0.05"
"295","distributed-fuelCells-elec-0.05"
"296","distributed-gas-turbine-micro-cogen-0.03"
"297","distributed-gas-turbine-micro-0.03"
"298","distributed-solar-1"
"299","distributed-wind-0.001"
"300","fuelCell_ethanol-3e-06"
"301","fuelCell_leachate-3e-06"
"302","fuelCell_sludge_energy-3e-06"
"303","gasification-biomass-methanol-backPressure-0.52"
"304","gasification-biomass-methanol-condensingTurbine-heatPump-twoSteamLevels-0.52"
"305","gasification-biomass-methanol-condensingTurbine-noDrying-adjusted-0.447"
"306","gasification-biomass-methanol-condensingTurbine-noDrying-0.447"
"307","gasification-coal_elec-400"
"308","gasification-coal-MSW_elec-400"
"309","gasification-coal-sludge_elec-400"
"310","gasification-coal-syngas-400"
"311","gasification-MSW-elec-50"
"312","gasification_sludge_hydrogen-0.62"
"313","gasification_sludge-0.62"
"314","gasification-syngas-elec-400"
"315","gasification-waste-high-temp_steam-0.04"
"316","gasification-waste-high-temp-0.04"
"317","gasification-waste-plama-ICE-steam-CC-7.92"
"318","heatPump-ASHP-highEff-radOrDHW-0.005"
"319","heatPump-ASHP-highEff-screedFloor-0.005"
"320","heatPump-ASHP-highEff-timberFloor-0.005"
"321","heatPump-ASHP-screedFloor-0.005"
"322","heatPump-ASHP-twoStage-screedFloor-0.005"
"323","heatPump-ASHP-twoStage-timberFloor-0.005"
"324","heatPump-groundCoupled-heating-0.005"
"325","heatPump-GSHP-screedFloor-0.005"
"326","heatPump-GSHP-ground-radAndDHW-0.005"
"327","heatPump-GSHP-ground-radOrDHW-0.005"
"328","heatPump-GSHP-ground-screedFloor-0.005"
"329","heatPump-GSHP-ground-timberFloor-0.005"
"330","heatPump-GSHP-radOrDHW-0.005"
"331","heatPump-GSHP-timberFloor-0.005"
"332","heatPump-sewage-cooling-0.005"
"333","heatPump-sewage-heating-0.005"
"334","heatPump-transcriticalCO2-radAndDHW-0.005"
"335","heatPump-transcriticalCO2-radOrDHW-0.005"
"336","heatPump-transcriticalCO2-screedFloor-0.005"
"337","microalgae-biodiesel-0.00317"
"338","microalgae-biofuels_wetExtraction-0.0012"
"339","mixedRawSludge_biogas-0.0116"
"340","nuclear-directUseSpentFuel-0.068"
"341","nuclear-fastReactorRecycling-pyroprocess-0.068"
"342","nuclear-onceThrough-0.068"
"343","nuclear-thermalReactorRecycling-0.068"
"344","elecplant-biomass-0.04"
"345","elecplant-coal-10"
"346","elecplant-cofiring-biomass-coal-fluidisedBed-10"
"347","elecplant_hydrogenLooping-10"
"348","review-methanogenic-digestion-0.122"
"349","review-biomass-MFC-elec-butannol-0.122"
"350","review-butanol-fermentation-0.5996"
"351","review-ethanol-fermentation-0.122"
"352","review-hydrogen-fermentation-0.5996"
"353","SAF-MBR_wastewater-0.00657"
"354","sludge-biodiesel-0.00317"
"355","solar-CSP-dryCooling-0.25"
"356","solar-CSP-0.25"
"357","surfaceWater_treatment-potable-7.41"
"358","wasteWaterEffluent_wetlands-1.75"
"359","wastewater-algaeCultivation-openPond-4.05e-09"
"360","wastewater_anaerobicMembraneBioreactor-0.0116"
"361","wastewater-biogas-elec-hydrogen_elec-hydrogen_HTE-1.82e-07"
"362","wastewater-biogas-elec-hydrogen_elec-hydrogen_KOH-2.32e-07"
"363","wastewater-biogas-elec-hydrogen_elec-hydrogen_PEM-2.74e-07"
"364","wastewater-biogas-elec-hydrogen_wastewater-biogas-0.0116"
"365","wastewater-reuse-irrigation-0.0116"
"366","wastewater-reuse-potable-0.0116"
"367","wastewater-reuse-residential-0.0116"
"368","WtE-MSW_cogen-7.6"
"369","WtE-MSW_elec-7.6"
"370","WtE-7.6"
