process.name,capacity,scale.ref,scale.notes,trl,trl.reference,trl.notes
heatPump-GSHP-screedFloor-0.005,0.005,"http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",c,,
heatPump-GSHP-ground-radAndDHW-0.005,0.005,"http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",c,,
heatPump-GSHP-ground-radOrDHW-0.005,0.005,"http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",c,,
heatPump-GSHP-ground-screedFloor-0.005,0.005,"http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",c,,
heatPump-GSHP-ground-timberFloor-0.005,0.005,"http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",c,,
heatPump-GSHP-radOrDHW-0.005,0.005,"http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",c,,
heatPump-GSHP-timberFloor-0.005,0.005,"http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",c,,
heatPump-sewage-cooling-0.005,0.005,"http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",c,http://www.treehugger.com/clean-technology/geothermal-system-taps-sewage-instead-bedrock.html,"Systems in China"
heatPump-sewage-heating-0.005,0.005,"http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",c,http://www.treehugger.com/clean-technology/geothermal-system-taps-sewage-instead-bedrock.html,"Systems in China"
heatPump-transcriticalCO2-radAndDHW-0.005,0.005,"http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",c,,
heatPump-transcriticalCO2-radOrDHW-0.005,0.005,"http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",c,,
heatPump-transcriticalCO2-screedFloor-0.005,0.005,"http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",c,,
microalgae-biodiesel-0.00317,0.00317,http://www.cmclinnovations.com/wp-content/uploads/2014/01/The-future-viability-of-algae-derived-biodiesel-under-economic-and-technical-uncertainties.pdf,"Paper applies sensitivity analysis betwee 1000 to 100000 tonnes/year of biodiesel",ml,http://pubs.acs.org/doi/pdf/10.1021/ie403273b,"Simulations (showing the economic viability of the process)"
microalgae-biofuels_wetExtraction-0.0012,0.0012,http://www.cmclinnovations.com/wp-content/uploads/2014/01/The-future-viability-of-algae-derived-biodiesel-under-economic-and-technical-uncertainties.pdf,"Plants in US range from 0.01 to 180 Mmgy",r,http://biomassmagazine.com/articles/8307/propel-solazyme-make-algae-biofuel-available-to-the-public,"Some commercial examples"
mixedRawSludge_biogas-0.0116,0.0116,http://www.sciencedirect.com/science/article/pii/S1359431108001968,"111 t/d",c,,
nuclear-directUseSpentFuel-0.068,0.068,"https://en.wikipedia.org/wiki/List_of_small_nuclear_reactor_designs. https://en.wikipedia.org/wiki/List_of_nuclear_power_stations","Small range from 0.068-350 MW. Large range from 350-7900 MW",c,,
nuclear-fastReactorRecycling-pyroprocess-0.068,0.068,"https://en.wikipedia.org/wiki/List_of_small_nuclear_reactor_designs. https://en.wikipedia.org/wiki/List_of_nuclear_power_stations","Small range from 0.068-350 MW. Large range from 350-7900 MW",c,,
nuclear-onceThrough-0.068,0.068,"https://en.wikipedia.org/wiki/List_of_small_nuclear_reactor_designs. https://en.wikipedia.org/wiki/List_of_nuclear_power_stations","Small range from 0.068-350 MW. Large range from 350-7900 MW",c,,
nuclear-thermalReactorRecycling-0.068,0.068,"https://en.wikipedia.org/wiki/List_of_small_nuclear_reactor_designs. https://en.wikipedia.org/wiki/List_of_nuclear_power_stations","Small range from 0.068-350 MW. Large range from 350-7900 MW",c,,
elecplant-biomass-0.04,0.04,"http://www.power-technology.com/features/featurepower-from-waste---the-worlds-biggest-biomass-power-plants-4205990/. http://biomassmagazine.com/plants/listplants/biomass/US/","Largest plant is 740 MW. Other big plants are about 125-140 MW. Other plants are 0.04-128.9 MW",c,,
